age,start,rating,weight,first,podium,place
5,12,50,64,0,0,9
5,2,0,59,1,1,1
5,8,0,53,0,1,2
4,1,0,59,0,1,3
6,4,0,58,0,0,4
4,12,0,52,0,0,5
5,3,0,59,0,0,6
4,10,0,53,0,0,7
4,6,0,53,0,0,8
6,5,0,55,0,0,9
6,13,0,52,0,0,10
4,7,0,53,0,0,11
6,9,0,53,0,0,12
5,7,57,57,1,1,1
7,2,57,55,0,1,2
7,4,54,57,0,1,3
4,1,56,58,0,0,4
4,12,52,57,0,0,5
7,9,49,57,0,0,6
8,5,47,57,0,0,7
5,6,39,57,0,0,8
7,8,27,54,0,0,9
10,3,8,57,0,0,10
4,10,6,57,0,0,11
4,11,0,57,0,0,12
6,12,100,63,1,1,1
5,5,118,69,0,1,2
6,2,112,73,0,1,3
5,9,97,65,0,0,4
6,6,104,71,0,0,5
6,1,106,73,0,0,6
6,3,103,73,0,0,7
6,11,84,64,0,0,8
8,8,94,69,0,0,9
6,10,78,65,0,0,10
5,7,78,71,0,0,11
7,4,80,73,0,0,12
5,1,134,71,1,1,1
7,2,129,71,0,1,2
6,8,112,68,0,1,3
7,3,102,68,0,0,4
6,5,100,68,0,0,5
6,10,99,67,0,0,6
5,13,91,63,0,0,7
6,7,91,65,0,0,8
5,9,88,67,0,0,9
6,4,77,68,0,0,10
6,3,64,58,1,1,1
4,5,65,58,0,1,2
8,12,49,54,0,1,3
6,1,62,60,0,0,4
7,8,51,58,0,0,5
10,6,48,58,0,0,6
9,10,37,53,0,0,7
4,4,37,58,0,0,8
4,13,26,53,0,0,9
5,2,37,58,0,0,10
4,7,33,56,0,0,11
4,9,0,56,0,0,12
5,3,71,59,1,1,1
4,4,69,58,0,1,2
7,6,68,58,0,1,3
4,1,68,60,0,0,4
6,11,61,57,0,0,5
6,8,54,58,0,0,6
4,7,54,58,0,0,7
10,9,38,54,0,0,8
8,13,27,53,0,0,9
4,5,30,58,0,0,10
6,2,33,57,0,0,11
5,10,22,58,0,0,12
9,12,85,60,1,1,1
6,5,102,71,0,1,2
7,1,106,73,0,1,3
6,3,98,72,0,0,4
6,10,80,67,0,0,5
10,11,75,63,0,0,6
7,7,82,71,0,0,7
6,2,83,72,0,0,8
11,8,73,68,0,0,9
5,6,10,69,0,0,10
9,4,0,73,0,0,11
6,5,66,57,1,1,1
5,2,70,60,0,1,2
5,11,55,53,0,1,3
6,7,53,55,0,0,4
7,3,59,59,0,0,5
8,1,61,60,0,0,6
6,9,49,55,0,0,7
6,4,54,58,0,0,8
6,8,49,55,0,0,9
4,6,49,56,0,0,10
6,10,42,50,0,0,11
5,12,33,50,0,0,12
4,4,69,58,1,1,1
4,5,64,58,0,1,2
4,1,64,55,0,1,3
6,11,47,52,0,0,4
5,2,61,59,0,0,5
3,7,53,56,0,0,6
7,8,50,55,0,0,7
4,12,42,51,0,0,8
6,6,50,56,0,0,9
5,10,45,53,0,0,10
6,3,54,57,0,0,11
9,9,44,54,0,0,12
6,2,124,72,1,1,1
9,6,105,64,0,1,2
9,1,123,73,0,1,3
9,5,95,66,0,0,4
8,4,68,66,0,0,5
9,11,54,61,0,0,6
7,10,55,64,0,0,7
13,3,68,72,0,0,8
13,12,36,61,0,0,9
7,7,10,66,0,0,10
12,9,6,65,0,0,11
8,8,0,63,0,0,12
8,8,50,57,1,1,1
7,6,51,58,0,1,2
6,9,48,57,0,1,3
5,5,49,57,0,0,4
5,7,47,58,0,0,5
5,10,43,52,0,0,6
6,4,47,59,0,0,7
5,12,28,50,0,0,8
6,1,45,58,0,0,9
8,3,42,59,0,0,10
7,11,21,52,0,0,11
6,2,36,60,0,0,12
4,2,91,59,1,1,1
4,1,90,60,0,1,2
5,3,85,58,0,1,3
4,10,63,53,0,0,4
7,9,66,50,0,0,5
4,11,61,53,0,0,6
7,4,66,56,0,0,7
8,12,57,51,0,0,8
4,7,63,55,0,0,9
4,8,58,54,0,0,10
4,6,55,55,0,0,11
4,5,55,54,0,0,12
4,12,61,53,1,1,1
6,9,57,54,0,1,2
4,11,53,52,0,1,3
4,4,61,59,0,0,4
5,2,62,60,0,0,5
6,10,46,53,0,0,6
3,8,45,55,0,0,7
3,5,45,56,0,0,8
3,6,44,56,0,0,9
8,1,52,58,0,0,10
6,3,50,59,0,0,11
7,7,37,51,0,0,12
6,12,52,52,1,1,1
9,11,51,54,0,1,2
6,6,54,57,0,1,3
7,2,59,59,0,0,4
6,7,49,55,0,0,5
6,3,53,59,0,0,6
5,9,43,55,0,0,7
4,5,50,57,0,0,8
6,8,42,55,0,0,9
4,1,49,60,0,0,10
5,4,44,58,0,0,11
3,10,27,54,0,0,12
4,1,62,60,1,1,1
5,4,60,62,0,1,2
6,8,52,59,0,1,3
5,7,54,61,0,0,4
8,6,52,61,0,0,5
8,2,54,60,0,0,6
4,3,50,62,0,0,7
6,5,46,60,0,0,8
7,12,38,57,0,0,9
3,13,40,55,0,0,10
4,10,22,59,0,0,11
9,9,18,59,0,0,12
5,4,116,69,1,1,1
9,2,109,71,0,1,2
5,10,92,66,0,1,3
7,12,78,63,0,0,4
6,5,81,71,0,0,5
5,9,73,65,0,0,6
5,7,69,70,0,0,7
5,6,66,71,0,0,8
8,3,47,69,0,0,9
9,8,0,66,0,0,10
3,7,59,58,1,1,1
3,4,64,60,0,1,2
3,1,63,61,0,1,3
3,9,54,57,0,0,4
3,3,61,61,0,0,5
3,12,48,55,0,0,6
3,13,46,55,0,0,7
3,5,54,59,0,0,8
3,11,43,55,0,0,9
3,8,46,56,0,0,10
3,10,41,56,0,0,11
3,2,48,61,0,0,12
8,10,53,52,1,1,1
5,3,66,59,0,1,2
6,8,58,56,0,1,3
7,5,57,58,0,0,4
5,7,53,57,0,0,5
7,11,45,53,0,0,6
9,6,51,58,0,0,7
10,12,39,53,0,0,8
5,9,39,51,0,0,9
5,2,49,60,0,0,10
4,13,25,51,0,0,11
4,1,41,61,0,0,12
5,1,127,74,1,1,1
6,8,117,71,0,1,2
6,7,104,69,0,1,3
6,6,104,71,0,0,4
5,9,90,71,0,0,5
4,12,80,66,0,0,6
7,3,87,70,0,0,7
5,4,70,71,0,0,8
7,10,60,68,0,0,9
7,2,63,71,0,0,10
5,11,11,68,0,0,11
6,2,134,71,1,1,1
5,6,119,71,0,1,2
5,5,118,71,0,1,3
6,4,112,68,0,0,4
6,10,97,68,0,0,5
5,9,102,69,0,0,6
4,11,80,66,0,0,7
4,12,72,63,0,0,8
5,3,84,71,0,0,9
5,1,63,69,0,0,10
5,8,44,69,0,0,11
5,7,35,69,0,0,12
7,1,130,75,1,1,1
9,8,114,70,0,1,2
10,5,114,73,0,1,3
7,7,98,72,0,0,4
7,9,93,68,0,0,5
6,6,90,68,0,0,6
7,2,94,73,0,0,7
12,11,69,66,0,0,8
11,12,53,64,0,0,9
6,4,73,71,0,0,10
6,10,52,67,0,0,11
5,3,63,73,0,0,12
5,2,131,73,1,1,1
5,7,115,70,0,1,2
5,4,115,70,0,1,3
7,12,99,67,0,0,4
8,3,106,70,0,0,5
5,10,84,67,0,0,6
6,13,82,65,0,0,7
6,11,81,64,0,0,8
7,9,73,70,0,0,9
7,8,68,70,0,0,10
8,9,90,61,1,1,1
9,1,108,76,0,1,2
13,7,89,66,0,1,3
8,6,86,67,0,0,4
6,10,67,60,0,0,5
9,8,72,66,0,0,6
9,11,65,63,0,0,7
12,3,80,71,0,0,8
9,2,79,75,0,0,9
8,5,38,67,0,0,10
7,7,149,75,1,1,1
9,3,148,75,0,1,2
7,4,142,75,0,1,3
7,10,124,73,0,0,4
10,9,125,75,0,0,5
6,6,119,75,0,0,6
9,8,106,75,0,0,7
7,12,95,72,0,0,8
8,2,96,72,0,0,9
8,5,64,75,0,0,10
8,1,156,74,1,1,1
5,4,146,69,0,1,2
7,8,122,65,0,1,3
7,3,122,70,0,0,4
10,12,105,61,0,0,5
6,11,106,62,0,0,6
10,7,99,66,0,0,7
9,13,76,61,0,0,8
8,5,89,66,0,0,9
8,10,79,65,0,0,10
5,2,70,70,0,0,11
5,1,112,70,1,1,1
6,9,112,70,0,1,2
6,8,105,70,0,1,3
5,3,105,69,0,0,4
5,6,102,70,0,0,5
5,5,86,69,0,0,6
6,11,77,67,0,0,7
7,12,77,67,0,0,8
5,4,74,70,0,0,9
5,10,60,66,0,0,10
5,7,61,70,0,0,11
3,1,0,55,1,1,1
3,12,0,53,0,1,2
3,7,0,55,0,1,3
3,10,0,55,0,0,4
3,5,0,55,0,0,5
3,2,0,55,0,0,6
3,4,0,55,0,0,7
3,11,0,55,0,0,8
3,6,0,55,0,0,9
3,8,0,55,0,0,10
3,9,0,53,0,0,11
3,3,0,55,0,0,12
8,3,61,59,1,1,1
5,1,63,61,0,1,2
6,8,52,57,0,1,3
6,2,57,60,0,0,4
4,11,49,55,0,0,5
4,7,54,58,0,0,6
4,4,54,55,0,0,7
5,9,43,57,0,0,8
4,6,43,58,0,0,9
4,12,30,54,0,0,10
11,10,23,56,0,0,11
4,5,0,58,0,0,12
4,2,79,59,1,1,1
4,6,75,55,0,1,2
5,11,66,53,0,1,3
4,9,70,57,0,0,4
5,7,69,58,0,0,5
5,3,69,59,0,0,6
6,10,62,56,0,0,7
5,8,65,58,0,0,8
4,4,59,59,0,0,9
4,1,59,59,0,0,10
6,5,55,56,0,0,11
5,12,47,54,0,0,12
7,11,95,66,1,1,1
10,10,91,67,0,1,2
8,1,98,73,0,1,3
8,7,85,68,0,0,4
8,3,88,75,0,0,5
9,8,70,69,0,0,6
7,6,75,70,0,0,7
5,2,68,58,1,1,1
4,8,57,54,0,1,2
8,10,51,53,0,1,3
6,3,61,58,0,0,4
4,12,45,51,0,0,5
5,4,53,54,0,0,6
9,1,61,59,0,0,7
6,5,51,55,0,0,8
5,9,46,52,0,0,8
3,6,44,54,0,0,10
4,7,29,54,0,0,11
5,11,15,53,0,0,12
3,6,69,54,1,1,1
3,10,66,54,0,1,2
4,1,67,63,0,1,3
3,7,59,54,0,0,4
3,5,54,54,0,0,5
5,3,57,63,0,0,6
3,4,51,54,0,0,7
4,2,55,60,0,0,8
3,11,44,52,0,0,9
3,8,46,54,0,0,10
3,12,40,52,0,0,11
3,9,34,54,0,0,12
9,10,71,52,1,1,1
6,12,68,50,0,1,2
7,9,69,52,0,1,3
7,1,83,55,0,0,4
6,2,80,58,0,0,5
5,8,66,53,0,0,6
7,11,60,51,0,0,7
4,6,64,54,0,0,8
6,7,58,53,0,0,9
4,4,66,57,0,0,10
5,3,66,58,0,0,11
4,5,56,55,0,0,12
5,8,82,55,1,1,1
4,9,79,54,0,1,2
4,3,81,57,0,1,3
5,7,75,55,0,0,4
6,11,67,53,0,0,5
7,10,67,53,0,0,6
4,5,74,55,0,0,7
4,2,78,59,0,0,8
5,1,78,55,0,0,9
3,4,72,58,0,0,10
6,12,56,52,0,0,11
5,6,54,56,0,0,12
6,4,106,73,1,1,1
10,9,89,63,0,1,2
7,12,72,63,0,1,3
7,2,90,74,0,0,4
5,8,76,69,0,0,5
7,10,69,67,0,0,6
5,11,64,66,0,0,7
6,7,73,70,0,0,8
5,3,74,74,0,0,9
6,5,48,73,0,0,10
6,12,59,53,1,1,1
5,11,53,54,0,1,2
7,2,61,57,0,1,3
4,3,61,58,0,0,4
4,10,51,55,0,0,5
4,9,48,55,0,0,6
3,6,49,56,0,0,7
5,7,46,56,0,0,8
5,4,45,57,0,0,9
6,1,43,59,0,0,10
4,5,29,56,0,0,11
3,8,13,56,0,0,12
5,4,67,58,1,1,1
5,2,70,55,0,1,2
3,9,61,56,0,1,3
3,5,58,57,0,0,4
4,8,55,56,0,0,5
5,1,60,60,0,0,6
4,11,46,54,0,0,7
4,3,57,59,0,0,8
4,10,48,56,0,0,9
5,12,41,52,0,0,9
3,6,31,56,0,0,11
4,7,23,56,0,0,12
5,2,91,59,1,1,1
5,11,78,54,0,1,2
4,7,75,50,0,1,3
3,5,75,56,0,0,4
4,12,67,53,0,0,5
4,6,71,54,0,0,6
4,3,75,57,0,0,7
5,9,65,54,0,0,8
7,10,63,54,0,0,9
6,8,59,54,0,0,10
4,1,60,60,0,0,11
5,4,40,56,0,0,12
4,10,48,54,1,1,1
7,8,46,56,0,1,2
4,5,51,58,0,1,3
5,11,39,54,0,0,4
4,9,41,55,0,0,5
4,6,46,58,0,0,6
7,2,47,60,0,0,7
5,1,46,55,0,0,8
4,3,44,59,0,0,9
6,12,27,53,0,0,10
4,4,39,59,0,0,11
4,7,32,57,0,0,12
5,2,62,53,1,1,1
6,7,59,55,0,1,2
4,13,61,58,0,1,3
3,4,60,58,0,0,4
4,8,53,57,0,0,5
4,9,51,57,0,0,6
4,11,39,53,0,0,7
4,10,36,54,0,0,8
3,5,40,58,0,0,9
3,6,35,56,0,0,10
6,12,24,51,0,0,11
4,1,38,60,0,0,12
6,8,120,69,1,1,1
5,5,116,68,0,1,2
5,12,113,69,0,1,3
7,10,103,68,0,0,4
6,4,96,67,0,0,5
6,6,92,69,0,0,6
7,3,88,69,0,0,7
5,1,87,69,0,0,8
5,2,84,66,0,0,9
5,9,79,69,0,0,10
5,7,76,69,0,0,11
6,11,64,69,0,0,12
9,1,119,73,1,1,1
7,4,110,70,0,1,2
5,7,106,68,0,1,3
8,11,99,67,0,0,4
6,9,101,68,0,0,5
7,3,101,70,0,0,6
5,10,85,66,0,0,7
5,8,76,71,0,0,8
6,12,48,66,0,0,9
11,6,54,73,0,0,10
6,2,53,72,0,0,11
6,5,49,73,0,0,12
8,8,112,68,1,1,1
7,2,105,72,0,1,2
8,11,82,66,0,1,3
9,1,95,74,0,0,4
8,12,53,62,0,0,5
7,7,70,70,0,0,6
5,4,73,75,0,0,7
6,9,60,69,0,0,8
3,12,63,50,1,1,1
3,2,78,58,0,1,2
3,10,63,55,0,1,3
3,13,54,49,0,0,4
